Muni Code,Entity Name,County,Class Description,Fiscal Year End Date,Months in Fiscal Period,Enrollment,Full Value,Debt Outstanding,Real Property Taxes,Special Assessments,Star Payments,Payments in Lieu of Taxes,Gain from Sale of Tax Acquired Property,Interest & Penalties,Miscellaneous Tax Items,Sales Tax,Sales Tax Distribution,Utilities Gross Receipts Tax,Miscellaneous Use Taxes,Franchises,Emergency Telephone System Surcharge,City Income Tax,Miscellaneous Non-Property Taxes,General Government Fees,Education Fees,Public Safety Fees,Health Fees,Transportation Fees,Social Service Fees,Economic Development Fees,Culture and Recreation Fees,Community Services Fees,Utility Fees,Sanitation Fees,Miscellaneous Fees,General Government Charges,Education Charges,Public Safety Charges,Health Charges,Transportation Charges,Social Services Charges,Culture and Recreation Charges,Community Services Charges,Utility Charges,Sanitation Charges,Debt Service Charges,Miscellaneous Intergovernmental Charges,Interest and Earnings,Rental of Property,Sale of Property,Fines,Forfeitures,Compensation for Loss,Library Grants from Local Governments,Miscellaneous Grants from Local Governments,Gifts,Employee Contributions,Miscellaneous Revenues,,State Aid - General Government,State Aid - Education,State Aid - Health,State Aid - Public Safety,State Aid - Transportation,State Aid - Social Services,State Aid - Economic Development,State Aid - Culture and Recreation,State Aid - Community Services,State Aid - Utilities,State Aid - Sanitation,Unrestricted State Aid,Miscellaneous State Aid,Mortgage Tax,Federal Aid - General Government,Federal Aid - Education,Federal Aid - Public Safety,Federal Aid - Health,Federal Aid - Transportation,Federal Aid - Social Services,Federal Aid - Economic Development,Federal Aid - Culture and Recreation,Federal Aid - Community Services,Federal Aid - Utilities,Federal Aid - Sanitation,Miscellaneous Federal Aid,,Sale of Obligations,BANS Redeemed from Appropriations,Miscellaneous Debt Proceeds,Transfers,Miscellaneous Other Sources,,Operations,Administration,County Distribution of Sales Tax,Miscellaneous General Government,Zoning and Planning,Judgements,Instruction,Instructional Support,Pupil Services,Education - Transportation,Student Activities,Community College,Miscellaneous Education,Public Safety Administration,Police,Fire Protection,Emergency Response,Correctional Services,Disaster Response,Homeland Security and Civil Defense,Miscellaneous Public Safety,Public Health Administration,Public Health Services,Mental Health Services,Environmental Services,Public Health Facilities,Miscellaneous Public Health,Highways,Highway Services to Other Govts,Bus Service,Airports,Rail Service,Waterways,Transportation Facilities,Transportation Ancillary,Miscellaneous Transportation,Public Facilities,Miscellaneous Social Services,Social Service Administration,Financial Assistance,Medicaid,Non-Medicaid Medical Assistance,Housing Assistance,Employment Services,Youth Services,Economic Development Administration,Development Infrastructure,Promotion,Economic Development Grants,Miscellaneous Economic Development,Recreation Services,Adult Recreation,Youth Recreation,Library,Miscellaneous Cultural and Recreation,Cultural Services,Constituent Services,Elder Services,Natural Resources,Student Census,Miscellaneous Community Services,Water,Electricity,Natural Gas,Steam,Sewer,Storm Sewer,Refuse and Garbage,Landfill Closures,Drainage,Miscellaneous Sanitation,Retirement - State/Local,Retirement - Police & Fire,Retirement - Teacher,LOSAP / Miscellaneous,Social Security,Medical Insurance,Disability Insurance,Life Insurance,Worker's Compensation,Unemployment Insurance,Union Benefits Program,Unclassified Employee Benefits,Debt Principal,Interest on Debt,Total Expenditures,,Total Expenditures and Other Uses
460700200100,Addison Central School District,Steuben,Central,06/30/2022,12,961,445977591,21380047,6296383,0,1045442,331415,0,22881,0,0,0,0,0,0,0,0,0,0,114031,0,0,0,0,0,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,121722,16130,36368,0,100,140041,0,0,12464,0,746251,8884403,0,24849618,0,0,0,0,0,0,0,0,0,0,0,0,0,2831712,53805,0,0,868473,0,0,0,0,0,0,37488011,0,2536690,213967,5094992,0,45333660,3817762,1101265,0,0,0,0,14489846,1388618,656664,1743930,449214,0,11600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394994,0,786338,0,844421,3668334,0,0,78059,997,0,582337,4808383,622749,35482081,5094992,40577073
300608200100,Adirondack Central School District,Oneida,Independent Superintendent,06/30/2022,12,1103,757657808,27963385,9345406,0,1148557,0,0,20553,0,0,0,0,0,0,0,0,0,0,6959,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,473722,500,142690,0,0,360,0,0,47336,0,359715,11546818,0,18628868,0,0,0,0,0,0,0,0,0,0,0,0,0,2032476,26213,0,0,1075832,0,0,0,0,0,0,33310207,630000,958543,0,217855,0,35116605,4304007,812533,0,0,0,475460,13265420,974878,552467,2083587,401821,0,128748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449509,0,832020,0,896054,6477986,30501,0,188570,353,0,233375,2373543,939409,35423738,217856,35641594
080700300100,Afton Central School District,Chenango,Central,06/30/2022,12,442,237240641,15021404,4087263,0,671221,4100,0,22452,0,0,0,0,0,0,0,0,0,0,96368,0,0,0,0,0,0,0,0,0,1678,0,0,0,0,0,0,0,0,0,0,0,0,81468,23061,45773,0,0,0,0,0,0,0,190468,5223852,0,11305388,0,0,0,0,0,0,0,0,0,0,0,0,0,1195573,14442,0,0,476890,0,0,0,0,0,0,18216145,172000,0,0,50000,0,18438145,10683845,1218683,0,0,0,0,7485079,933666,403141,797214,258653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273990,0,438716,0,527818,2176497,0,9903,65410,0,0,58580,886017,118722,26345548,50000,26395548
140758200100,Akron Central School District,Erie,Central,06/30/2022,12,1257,753701257,18001175,8986973,0,1181413,640715,0,19052,0,0,1435665,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,6291,0,0,0,0,0,0,0,0,0,0,0,2605340,133120,0,82815,0,0,4608,0,0,71186,0,327966,15495627,0,17382501,0,0,0,0,0,0,0,0,0,0,0,0,0,1817951,19356,0,0,967053,0,0,0,0,0,0,35682488,7225000,882185,0,2807380,0,46597053,5322087,921517,0,3645,0,0,15219910,2053839,868096,1888331,622832,0,49464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464423,0,1190422,0,1045588,3320838,0,11407,189471,5391,0,270916,2767185,717478,36932840,2807380,39740220
010501000000,Albany City School District,Albany,City Public School,06/30/2022,12,11235,5497950781,224690463,114011438,0,6591848,7366754,0,413459,0,0,0,4444713,0,0,0,0,0,0,624667,0,0,0,0,0,0,0,0,0,0,0,0,0,1767988,0,0,0,0,0,0,0,0,4583255,25870,4,0,3500,28243,0,0,60059,0,4679617,144601415,10253,133915776,0,0,0,0,0,0,0,0,0,0,0,0,0,26856667,0,0,0,7251917,0,0,0,0,0,0,312636028,62445000,2397000,0,432132,0,377910160,59215671,3103959,0,930421,0,0,150874642,8504056,30678771,10116929,1257142,0,268782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2252813,0,8130642,0,7667320,34531391,0,983,1206616,-85243,30800,5776306,12090270,5852111,342404382,432132,342836514
340600500100,Albion Central School District,Orleans,Independent Superintendent,06/30/2022,12,1686,651235419,0,7061929,0,1384066,32190,0,19602,0,0,381,0,0,0,0,0,0,0,17133,0,0,0,0,0,0,0,0,0,6339,0,0,0,0,0,0,0,0,0,0,0,0,42539,11179,45199,0,0,0,0,0,32596,0,157589,8810742,0,29385604,0,0,0,0,0,0,0,0,0,0,0,0,0,4089396,0,0,0,909362,0,0,0,0,0,0,43195104,0,0,0,27365449,0,70560553,3660791,629055,0,0,0,0,18587215,1768073,1159330,3018963,617612,0,46142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360025,0,1310420,0,1154556,4386175,0,0,118460,4909,0,552015,0,0,37444173,27365449,64809622
140600700100,Alden Central School District,Erie,Independent Superintendent,06/30/2022,12,1498,1084916918,21046012,14183391,0,1878411,72752,0,6033,0,0,2231401,0,0,0,0,0,0,0,128429,0,0,0,0,0,0,0,0,0,0,0,0,0,39468,0,0,0,0,0,0,0,0,187796,17737,130448,0,0,0,0,0,41049,0,124401,19041316,0,16334913,0,0,0,0,0,0,0,0,0,0,0,0,0,1938919,14831,0,0,961818,0,0,0,0,0,0,38291797,1725000,440000,0,156784,0,40613581,5332182,912246,0,1487,0,0,15533341,1835472,993390,2335471,527677,0,53291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511537,0,1195947,0,1229260,3884661,9169,2896,216876,8489,8150,376509,2460125,674910,38103086,156784,38259870
180700800200,Alexander Central School District,Genesee,Central,06/30/2022,12,745,333906784,785000,5086693,0,1120297,0,0,12397,0,0,0,0,0,0,0,0,0,0,114352,0,0,0,0,0,0,0,0,0,0,10250,0,0,0,0,0,0,0,0,0,0,0,11726,0,46,0,0,211773,0,0,1561,0,551337,7120432,0,11868077,0,0,0,0,0,0,0,0,0,0,0,0,0,1070070,12830,0,0,41760,0,0,0,0,0,0,20113169,0,0,0,245724,0,20358893,3647798,690770,0,221,0,0,9595528,463332,251382,865000,321473,0,13259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272924,0,645264,0,651370,1925575,0,0,33243,11100,0,264667,290000,51800,20017364,245724,20263088
220700900200,Alexandria Central School District,Jefferson,Central,06/30/2022,12,456,662782370,8282689,7506840,0,352485,0,0,15837,0,0,0,0,0,0,0,0,0,0,12220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12710,500,38217,0,0,7467,0,0,8392,0,208839,8163507,0,5259419,0,0,0,0,0,0,0,0,0,0,0,0,0,841288,21460,0,0,367177,0,0,0,0,0,0,14652851,298000,0,0,409755,0,15360606,1824636,605628,0,0,0,0,5722164,751962,547177,1155408,245409,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170974,0,384904,0,448007,2090122,0,0,65742,2484,0,87086,739291,171773,15013267,409755,15423022
020701000100,Alfred-Almond Central School District,Allegany,Central,06/30/2022,12,558,243027538,8786000,4462852,0,756905,0,0,12123,0,0,0,0,0,0,0,0,0,0,8610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58786,0,0,0,0,0,0,16444,28392,0,31529,0,200,9043,0,0,165,0,303884,5688933,0,9098981,0,0,0,0,0,0,0,0,0,0,0,0,0,876887,49647,0,0,410500,0,0,0,0,0,0,16124948,3734000,395000,0,1384275,0,21638223,3509973,633919,0,0,0,0,7300657,451248,380130,681854,263219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,180329,0,448374,0,435304,1385141,0,0,52892,4602,0,62898,1376000,331847,17499387,1384275,18883662
