CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,CLASS_DESCRIPTION,COUNTY,FISCAL_YEAR_END,ACCOUNT_CODE,ACCOUNT_CODE_NARRATIVE,FINANCIAL_STATEMENT,FINANCIAL_STATEMENT_SEGMENT,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,SNAPSHOT_DATE
1999,010201000000,City of Albany,City,Albany,12/31,A1001,"Real Property Taxes",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,REAL PROPERTY TAXES AND ASSESSMENTS,REAL PROPERTY TAXES,,35478706,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A10101,"Legislative Board, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,369912,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A10104,"Legislative Board, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,45309,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A10108,"Legislative Board, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,81099,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A1030,"Special Assessments",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,REAL PROPERTY TAXES AND ASSESSMENTS,SPECIAL ASSESSMENTS,,73305,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A1081,"Other Payments In Lieu of Taxes",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER REAL PROPERTY TAX ITEMS,PAYMENTS IN LIEU OF TAXES,,1309671,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A1090,"Interest & Penalties On Real Prop Taxes",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER REAL PROPERTY TAX ITEMS,INTEREST & PENALTIES,,246946,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A1091,"Interest & Penalties On Spec Assessments",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER REAL PROPERTY TAX ITEMS,INTEREST & PENALTIES,,1358,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A1120,"Non Prop Tax Dist By County",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,SALES AND USE TAX,SALES TAX DISTRIBUTION,,24614606,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A1130,"Utilities Gross Receipts Tax",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,SALES AND USE TAX,UTILITIES GROSS RECEIPTS TAX,,1798010,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A1134,"Priv Tax On Coin-Operated Devices",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,SALES AND USE TAX,MISCELLANEOUS USE TAXES,,17887,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A1150,"O.T.B. Surtax",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER NON-PROPERTY TAXES,MISCELLANEOUS NON-PROPERTY TAXES,,327209,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A1170,"Franchises",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER NON-PROPERTY TAXES,FRANCHISES,,697588,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A12101,"Mayor, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,466702,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A12102,"Mayor, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,7371,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A12104,"Mayor, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,35401,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A12108,"Mayor, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,70961,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A1230,"Treasurer Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,1740,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A1240,"Comptroller Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,162,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A1250,"Assessors Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,163,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A1255,"Clerk Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,2146,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A1289,"Other General Departmental Income",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,4700,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13151,"Comptroller,pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,322365,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13152,"Comptroller, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,522,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13154,"Comptroller, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,91496,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13158,"Comptroller, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,57711,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13251,"Treasurer, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,409822,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13252,"Treasurer, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,13901,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13254,"Treasurer, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,21281,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13258,"Treasurer, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,107387,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13451,"Purchasing, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,107620,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13452,"Purchasing, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,3337,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13454,"Purchasing, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,5333,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13458,"Purchasing, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,21961,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13504,"Brd of Con & Supply, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,254,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13551,"Assessment, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,277784,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13554,"Assessment, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,108781,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A13558,"Assessment, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,66925,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A14101,"Clerk,pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,131102,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A14102,"Clerk,equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,9109,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A14104,"Clerk,contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,22807,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A14108,"Clerk,empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,29267,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A14201,"Law, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,334815,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A14202,"Law, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,17108,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A14204,"Law, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,315399,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A14208,"Law, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,63722,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A14301,"Personnel, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,218348,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A14302,"Personnel,equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,129,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A14304,"Personnel, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,61252,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A14308,"Personnel, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,118992,2023-12-29
1999,010201000000,City of Albany,City,Albany,12/31,A14401,"Engineer, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,325576,2023-12-29
