CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,CLASS_DESCRIPTION,COUNTY,FISCAL_YEAR_END,ACCOUNT_CODE,ACCOUNT_CODE_NARRATIVE,FINANCIAL_STATEMENT,FINANCIAL_STATEMENT_SEGMENT,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,SNAPSHOT_DATE
1997,010201000000,City of Albany,City,Albany,12/31,A1001,"Real Property Taxes",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,REAL PROPERTY TAXES AND ASSESSMENTS,REAL PROPERTY TAXES,,33409559,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A10101,"Legislative Board, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,347945,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A10102,"Legislative Board, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,5976,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A10104,"Legislative Board, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,72862,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A10108,"Legislative Board, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,81387,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1030,"Special Assessments",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,REAL PROPERTY TAXES AND ASSESSMENTS,SPECIAL ASSESSMENTS,,168833,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1081,"Other Payments In Lieu of Taxes",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER REAL PROPERTY TAX ITEMS,PAYMENTS IN LIEU OF TAXES,,1630368,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1090,"Interest & Penalties On Real Prop Taxes",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER REAL PROPERTY TAX ITEMS,INTEREST & PENALTIES,,235331,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1091,"Interest & Penalties On Spec Assessments",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER REAL PROPERTY TAX ITEMS,INTEREST & PENALTIES,,1656,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A11101,"Municipal Court, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,34238,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A11104,"Municipal Court, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,266,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A11108,"Municipal Court, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,8293,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1120,"Non Prop Tax Dist By County",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,SALES AND USE TAX,SALES TAX DISTRIBUTION,,23142026,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1130,"Utilities Gross Receipts Tax",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,SALES AND USE TAX,UTILITIES GROSS RECEIPTS TAX,,1669861,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1134,"Priv Tax On Coin-Operated Devices",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,SALES AND USE TAX,MISCELLANEOUS USE TAXES,,16400,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1150,"O.T.B. Surtax",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER NON-PROPERTY TAXES,MISCELLANEOUS NON-PROPERTY TAXES,,332420,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1170,"Franchises",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER NON-PROPERTY TAXES,FRANCHISES,,579296,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A12101,"Mayor, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,436572,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A12102,"Mayor, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,4355,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A12104,"Mayor, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,25913,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A12108,"Mayor, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,65578,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1230,"Treasurer Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,1863,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1240,"Comptroller Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,127,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1245,"Tax Arrears Board Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,24647,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1250,"Assessors Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,1288,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1255,"Clerk Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,4633,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1289,"Other General Departmental Income",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,9036,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13151,"Comptroller,pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,305024,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13152,"Comptroller, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,978,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13154,"Comptroller, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,50726,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13158,"Comptroller, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,49020,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13251,"Treasurer, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,350582,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13252,"Treasurer, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,6914,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13254,"Treasurer, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,27760,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13258,"Treasurer, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,90507,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13451,"Purchasing, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,94205,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13452,"Purchasing, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,955,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13454,"Purchasing, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,3115,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13458,"Purchasing, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,19595,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13504,"Brd of Con & Supply, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,548,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13551,"Assessment, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,184708,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13552,"Assessment, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,6184,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13554,"Assessment, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,106810,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13558,"Assessment, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,49261,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A13804,"Fiscal Agents Fees, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,10815,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14101,"Clerk,pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,185665,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14102,"Clerk,equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,6175,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14104,"Clerk,contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,58632,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14108,"Clerk,empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,46539,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14201,"Law, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,450105,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14202,"Law, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,20322,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14204,"Law, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,166719,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14208,"Law, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,83784,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14301,"Personnel, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,244398,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14304,"Personnel, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,46801,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14308,"Personnel, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,42548,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14401,"Engineer, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,311723,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14402,"Engineer, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,6844,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14404,"Engineer, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,537118,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14408,"Engineer, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,73345,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14501,"Elections, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,43226,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14504,"Elections, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,158807,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14508,"Elections, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,5223,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14901,"Public Works Admin, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,542448,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14902,"Public Works Admin, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Equipment and Capital Outlay,7069,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14904,"Public Works Admin, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,140184,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A14908,"Public Works Admin, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,139915,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1520,"Police Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,3334,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1540,"Fire Inspection Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,4318,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1560,"Safety Inspection Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,194618,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1589,"Other Public Safety Departmental Income",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,383347,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A1603,"Vital Statistics Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,HEALTH FEES,,208282,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A16201,"Operation of Plant, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,709490,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A16202,"Operation of Plant, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Equipment and Capital Outlay,5716,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A16204,"Operation of Plant, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,779776,2023-12-29
1997,010201000000,City of Albany,City,Albany,12/31,A16208,"Operation of Plant, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,187741,2023-12-29
