CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,CLASS_DESCRIPTION,COUNTY,PERIOD_START,PERIOD_END,ACCOUNT_CODE,ACCOUNT_CODE_NARRATIVE,ACCOUNT_CODE_SECTION,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,SNAPSHOT_DATE
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1001,"Real Property Taxes",REVENUE,Real Property Taxes and Assessments,Real Property Taxes,"",6085801.83,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A10101,"Legislative Board",EXPENDITURE,General Government,Administration,"Personal Services",37500,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A10104,"Legislative Board",EXPENDITURE,General Government,Administration,"Contractual",79939.69,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1030,"Special Assessments",REVENUE,Real Property Taxes and Assessments,Special Assessments,"",26606.94,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1051,"Gain From Sale of Tax Acquired Property",REVENUE,Other Real Property Tax Items,Gain From Sale Of Tax Acquired Property,"",2600,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1081,"Other Payments In Lieu of Taxes",REVENUE,Other Real Property Tax Items,Payments In Lieu Of Taxes,"",438742.67,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1089,"Other Tax Items",REVENUE,Other Real Property Tax Items,Miscellaneous Tax Items,"",191589.8,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1090,"Interest and Penalties on Real Prop Taxes",REVENUE,Other Real Property Tax Items,Interest And Penalties,"",207766.95,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1091,"Interest and Penalties on Special Assessments",REVENUE,Other Real Property Tax Items,Interest And Penalties,"",130374.24,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1116,"Tax on Adult-Use Cannabis",REVENUE,Other Non-Property Taxes,Miscellaneous Non-Property Taxes,"",274809.05,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1120,"Non Property Tax Distribution by County",REVENUE,Sales and Use Tax,Sales Tax Distribution,"",7533765.22,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1130,"Utilities Gross Receipts Tax",REVENUE,Sales and Use Tax,Utilities Gross Receipts Tax,"",232687.43,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1170,"Franchise Tax",REVENUE,Other Non-Property Taxes,Franchises,"",226202.72,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1189,"Other Non Property Tax",REVENUE,Other Non-Property Taxes,Miscellaneous Non-Property Taxes,"",50946.8,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A12101,"Mayor",EXPENDITURE,General Government,Administration,"Personal Services",157740.32,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A12104,"Mayor",EXPENDITURE,General Government,Administration,"Contractual",5092.93,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1230,"Treasurer Fees",REVENUE,Charges for Services,General Government Fees,"",113130.27,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1255,"Clerk Fees",REVENUE,Charges for Services,General Government Fees,"",19615.34,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1289,"Other General Departmental Income",REVENUE,Charges for Services,General Government Fees,"",731.32,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A13251,"Treasurer",EXPENDITURE,General Government,Administration,"Personal Services",514340.58,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A13252,"Treasurer",EXPENDITURE,General Government,Administration,"Equipment and Capital Outlay",2500,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A13254,"Treasurer",EXPENDITURE,General Government,Administration,"Contractual",81176.1,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A13551,"Assessment",EXPENDITURE,General Government,Administration,"Personal Services",114996.28,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A13554,"Assessment",EXPENDITURE,General Government,Administration,"Contractual",16782.07,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A13624,"Tax Advertising and Expense",EXPENDITURE,General Government,Administration,"Contractual",84055.79,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A14101,"Clerk",EXPENDITURE,General Government,Administration,"Personal Services",127482.7,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A14104,"Clerk",EXPENDITURE,General Government,Administration,"Contractual",8724.09,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A14201,"Law",EXPENDITURE,General Government,Administration,"Personal Services",69555,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A14204,"Law",EXPENDITURE,General Government,Administration,"Contractual",11998.69,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A14301,"Personnel",EXPENDITURE,General Government,Administration,"Personal Services",50277.31,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A14304,"Personnel",EXPENDITURE,General Government,Administration,"Contractual",24025.76,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A14504,"Elections",EXPENDITURE,General Government,Administration,"Contractual",75583.12,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1520,"Police Fees",REVENUE,Charges for Services,Public Safety Fees,"",42337.65,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1570,"Charges For Demolition of Unsafe Buildings",REVENUE,Charges for Services,Public Safety Fees,"",8532,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1589,"Other Public Safety Departmental Income",REVENUE,Charges for Services,Public Safety Fees,"",65324.59,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1601,"Public Health Fees",REVENUE,Charges for Services,Health Fees,"",28023,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A16201,"Operation of Plant",EXPENDITURE,General Government,Operations,"Personal Services",85521.1,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A16204,"Operation of Plant",EXPENDITURE,General Government,Operations,"Contractual",112242.46,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1640,"Ambulance Charges",REVENUE,Charges for Services,Health Fees,"",1320970.53,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A16801,"Central Data Processing",EXPENDITURE,General Government,Operations,"Personal Services",42807.68,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A16804,"Central Data Processing",EXPENDITURE,General Government,Operations,"Contractual",103824.92,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A1689,"Other Health Departmental Income",REVENUE,Charges for Services,Health Fees,"",238463.03,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A19104,"Unallocated Insurance",EXPENDITURE,General Government,Operations,"Contractual",193695.16,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A19304,"Judgements and Claims",EXPENDITURE,General Government,Judgements,"Contractual",137626.22,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A19894,"General Government Support, Other",EXPENDITURE,General Government,Miscellaneous General Government,"Contractual",40288.17,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A200,"Cash",GL,,,"",7423686.99,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2001,"Park and Recreational Charges",REVENUE,Charges for Services,Culture And Recreation Fees,"",135272.67,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2025,"Special Recreational Facility Charges",REVENUE,Charges for Services,Culture And Recreation Fees,"",10018.26,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A210,"Petty Cash",GL,,,"",500,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2110,"Zoning Fees",REVENUE,Charges for Services,Community Services Fees,"",13940,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A220,"Cash From Obligations",GL,,,"",42671.31,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2210,"General Services Other Government",REVENUE,Charges to Other Governments,General Government Charges,"",2569.89,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2220,"Civil Service Charges",REVENUE,Charges to Other Governments,General Government Charges,"",14204.72,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2262,"Fire Protection Services Other Governments",REVENUE,Charges to Other Governments,Public Safety Charges,"",32741.53,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2390,"Share of Joint Activity Other Governments",REVENUE,Charges to Other Governments,Miscellaneous Intergovernmental Charges,"",363561.41,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2401,"Interest and Earnings",REVENUE,Use and Sale of Property,Interest And Earnings,"",263842.37,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2410,"Rental of Real Property",REVENUE,Use and Sale of Property,Rental Of Property,"",29412.76,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A250,"Taxes Receivable Current",GL,,,"",895335.85,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2501,"Business and Occupational License",REVENUE,Charges for Services,Community Services Fees,"",16306.5,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2530,"Games of Chance",REVENUE,Charges for Services,General Government Fees,"",70,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2540,"Bingo Licenses",REVENUE,Charges for Services,General Government Fees,"",846.08,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2544,"Dog Licenses",REVENUE,Charges for Services,General Government Fees,"",6708,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2555,"Building and Alteration Permits",REVENUE,Charges for Services,Community Services Fees,"",35355,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2590,"Permits Other",REVENUE,Charges for Services,Community Services Fees,"",128772.5,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A260,"Taxes Receivable Overdue",GL,,,"",1610410.18,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2610,"Fines and Forfeited Bail",REVENUE,Other Local Revenues,Fines,"",88521.91,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2660,"Sales of Real Property",REVENUE,Use and Sale of Property,Sale Of Property,"",3900,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2665,"Sales of Equipment",REVENUE,Use and Sale of Property,Sale Of Property,"",20145.75,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2680,"Insurance Recoveries",REVENUE,Other Local Revenues,Compensation For Loss,"",17500,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2701,"Refunds of Prior Year Expenditures",REVENUE,Other Local Revenues,Miscellaneous Revenues,"",30701.43,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2705,"Gifts and Donations",REVENUE,Other Local Revenues,Gifts,"",4639,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2706,"Grants From Local Governments",REVENUE,Other Local Revenues,Miscellaneous Grants From Local Governments,"",89324.13,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A2770,"Unclassified",REVENUE,Other Local Revenues,Miscellaneous Revenues,"",213.11,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A290,"City School Taxes Receivable",GL,,,"",643371.4,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A300,"Taxes Receivable Pending",GL,,,"",85414.37,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A3001,"State Aid Revenue Sharing",REVENUE,State Aid,Unrestricted State Aid,"",2866670,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A3005,"State Aid Mortgage Tax",REVENUE,State Aid,Mortgage Tax,"",165969.45,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A30101,"Public Safety Administration",EXPENDITURE,Public Safety,Public Safety Administration,"Personal Services",267087.09,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A30104,"Public Safety Administration",EXPENDITURE,Public Safety,Public Safety Administration,"Contractual",78800.65,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A3021,"State Aid Court Facilities",REVENUE,State Aid,State Aid - General Government,"",45821,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A3089,"State Aid Other",REVENUE,State Aid,Miscellaneous State Aid,"",502885,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A31201,"Police",EXPENDITURE,Public Safety,Police,"Personal Services",3787992.51,2025-12-31
2025,270202000000,City of Amsterdam,City,Montgomery,2024-07-01,2025-06-30,A31202,"Police",EXPENDITURE,Public Safety,Police,"Equipment and Capital Outlay",201250.35,2025-12-31
