CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,CLASS_DESCRIPTION,COUNTY,PERIOD_START,PERIOD_END,ACCOUNT_CODE,ACCOUNT_CODE_NARRATIVE,ACCOUNT_CODE_SECTION,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,SNAPSHOT_DATE
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A1001,"Real Property Taxes",REVENUE,Real Property Taxes and Assessments,Real Property Taxes,"",59178211,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A10101,"Legislative Board",EXPENDITURE,General Government,Administration,"Personal Services",459741,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A10102,"Legislative Board",EXPENDITURE,General Government,Administration,"Equipment and Capital Outlay",400,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A10104,"Legislative Board",EXPENDITURE,General Government,Administration,"Contractual",49216,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A10108,"Legislative Board",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",126725,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A1081,"Other Payments In Lieu of Taxes",REVENUE,Other Real Property Tax Items,Payments In Lieu Of Taxes,"",19377933,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A1090,"Interest and Penalties on Real Prop Taxes",REVENUE,Other Real Property Tax Items,Interest And Penalties,"",43522,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A1091,"Interest and Penalties on Special Assessments",REVENUE,Other Real Property Tax Items,Interest And Penalties,"",0,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A1120,"Non Property Tax Distribution by County",REVENUE,Sales and Use Tax,Sales Tax Distribution,"",40514371,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A1130,"Utilities Gross Receipts Tax",REVENUE,Sales and Use Tax,Utilities Gross Receipts Tax,"",1704099,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A1134,"Privilege Tax on Coin Operated Devices",REVENUE,Sales and Use Tax,Miscellaneous Use Taxes,"",1050,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A1150,"OTB Surtax",REVENUE,Other Non-Property Taxes,Miscellaneous Non-Property Taxes,"",148959,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A1170,"Franchise Tax",REVENUE,Other Non-Property Taxes,Franchises,"",1193676,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A12101,"Mayor",EXPENDITURE,General Government,Administration,"Personal Services",550580,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A12102,"Mayor",EXPENDITURE,General Government,Administration,"Equipment and Capital Outlay",65,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A12104,"Mayor",EXPENDITURE,General Government,Administration,"Contractual",42284,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A12108,"Mayor",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",117290,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A1230,"Treasurer Fees",REVENUE,Charges for Services,General Government Fees,"",34,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A1255,"Clerk Fees",REVENUE,Charges for Services,General Government Fees,"",20622,2025-12-31
2021,010201000000,City of Albany,City,Albany,2021-01-01,2021-12-31,A1289,"Other General Departmental Income",REVENUE,Charges for Services,General Government Fees,"",353549,2025-12-31
