CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,CLASS_DESCRIPTION,COUNTY,PERIOD_START,PERIOD_END,ACCOUNT_CODE,ACCOUNT_CODE_NARRATIVE,ACCOUNT_CODE_SECTION,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,SNAPSHOT_DATE
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A1001,"Real Property Taxes",REVENUE,Real Property Taxes and Assessments,Real Property Taxes,"",56706034,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A10101,"Legislative Board",EXPENDITURE,General Government,Administration,"Personal Services",436861,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A10102,"Legislative Board",EXPENDITURE,General Government,Administration,"Equipment and Capital Outlay",682,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A10104,"Legislative Board",EXPENDITURE,General Government,Administration,"Contractual",33897,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A10108,"Legislative Board",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",140811,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A1081,"Other Payments In Lieu of Taxes",REVENUE,Other Real Property Tax Items,Payments In Lieu Of Taxes,"",20769510,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A1090,"Interest and Penalties on Real Prop Taxes",REVENUE,Other Real Property Tax Items,Interest And Penalties,"",324259,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A1091,"Interest and Penalties on Special Assessments",REVENUE,Other Real Property Tax Items,Interest And Penalties,"",15844,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A1120,"Non Property Tax Distribution by County",REVENUE,Sales and Use Tax,Sales Tax Distribution,"",32864248,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A1130,"Utilities Gross Receipts Tax",REVENUE,Sales and Use Tax,Utilities Gross Receipts Tax,"",1371359,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A1134,"Privilege Tax on Coin Operated Devices",REVENUE,Sales and Use Tax,Miscellaneous Use Taxes,"",2380,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A1150,"OTB Surtax",REVENUE,Other Non-Property Taxes,Miscellaneous Non-Property Taxes,"",191445,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A1170,"Franchise Tax",REVENUE,Other Non-Property Taxes,Franchises,"",1270090,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A12101,"Mayor",EXPENDITURE,General Government,Administration,"Personal Services",580109,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A12104,"Mayor",EXPENDITURE,General Government,Administration,"Contractual",4390,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A12108,"Mayor",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",99691,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A1230,"Treasurer Fees",REVENUE,Charges for Services,General Government Fees,"",779,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A1255,"Clerk Fees",REVENUE,Charges for Services,General Government Fees,"",1423,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A1289,"Other General Departmental Income",REVENUE,Charges for Services,General Government Fees,"",66447,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A13201,"Auditor",EXPENDITURE,General Government,Administration,"Personal Services",270876,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A13204,"Auditor",EXPENDITURE,General Government,Administration,"Contractual",83005,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A13208,"Auditor",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",82665,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A13251,"Treasurer",EXPENDITURE,General Government,Administration,"Personal Services",832403,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A13254,"Treasurer",EXPENDITURE,General Government,Administration,"Contractual",191128,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A13258,"Treasurer",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",241854,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A13451,"Purchasing",EXPENDITURE,General Government,Administration,"Personal Services",155867,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A13452,"Purchasing",EXPENDITURE,General Government,Administration,"Equipment and Capital Outlay",3616,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A13454,"Purchasing",EXPENDITURE,General Government,Administration,"Contractual",2500,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A13458,"Purchasing",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",41791,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A13551,"Assessment",EXPENDITURE,General Government,Administration,"Personal Services",263296,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A13554,"Assessment",EXPENDITURE,General Government,Administration,"Contractual",307022,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A13558,"Assessment",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",82877,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A14101,"Clerk",EXPENDITURE,General Government,Administration,"Personal Services",259458,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A14104,"Clerk",EXPENDITURE,General Government,Administration,"Contractual",10294,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A14108,"Clerk",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",75754,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A14201,"Law",EXPENDITURE,General Government,Administration,"Personal Services",670592,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A14202,"Law",EXPENDITURE,General Government,Administration,"Equipment and Capital Outlay",8104,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A14204,"Law",EXPENDITURE,General Government,Administration,"Contractual",432168,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A14208,"Law",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",138919,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A14301,"Personnel",EXPENDITURE,General Government,Administration,"Personal Services",589394,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A14304,"Personnel",EXPENDITURE,General Government,Administration,"Contractual",60997,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A14308,"Personnel",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",448417,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A14401,"Engineer",EXPENDITURE,General Government,Administration,"Personal Services",424453,2025-12-31
2015,010201000000,City of Albany,City,Albany,2015-01-01,2015-12-31,A14404,"Engineer",EXPENDITURE,General Government,Administration,"Contractual",121381,2025-12-31
