CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,CLASS_DESCRIPTION,COUNTY,PERIOD_START,PERIOD_END,ACCOUNT_CODE,ACCOUNT_CODE_NARRATIVE,ACCOUNT_CODE_SECTION,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,SNAPSHOT_DATE
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A1001,"Real Property Taxes",REVENUE,Real Property Taxes and Assessments,Real Property Taxes,"",58312601,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A10101,"Legislative Board",EXPENDITURE,General Government,Administration,"Personal Services",440201,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A10102,"Legislative Board",EXPENDITURE,General Government,Administration,"Equipment and Capital Outlay",365,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A10104,"Legislative Board",EXPENDITURE,General Government,Administration,"Contractual",25895,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A10108,"Legislative Board",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",101649,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A1081,"Other Payments In Lieu of Taxes",REVENUE,Other Real Property Tax Items,Payments In Lieu Of Taxes,"",20708235,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A1090,"Interest and Penalties on Real Prop Taxes",REVENUE,Other Real Property Tax Items,Interest And Penalties,"",271747,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A1091,"Interest and Penalties on Special Assessments",REVENUE,Other Real Property Tax Items,Interest And Penalties,"",4429,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A1120,"Non Property Tax Distribution by County",REVENUE,Sales and Use Tax,Sales Tax Distribution,"",36636778,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A1130,"Utilities Gross Receipts Tax",REVENUE,Sales and Use Tax,Utilities Gross Receipts Tax,"",1203048,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A1134,"Privilege Tax on Coin Operated Devices",REVENUE,Sales and Use Tax,Miscellaneous Use Taxes,"",210,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A1150,"OTB Surtax",REVENUE,Other Non-Property Taxes,Miscellaneous Non-Property Taxes,"",163395,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A1170,"Franchise Tax",REVENUE,Other Non-Property Taxes,Franchises,"",1310013,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A12101,"Mayor",EXPENDITURE,General Government,Administration,"Personal Services",431281,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A12104,"Mayor",EXPENDITURE,General Government,Administration,"Contractual",33500,2025-12-31
2019,010201000000,City of Albany,City,Albany,2019-01-01,2019-12-31,A12108,"Mayor",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",98104,2025-12-31
